Accession,Signal_Peptide,Subcellular_Location
Q9WV55,,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:10655491}; Single-pass type IV membrane protein {ECO:0000250|UniProtKB:Q9P0L0}. Cell membrane {ECO:0000250|UniProtKB:Q9P0L0}; Single-pass type IV membrane protein {ECO:0000305}. Cell junction, tight junction {ECO:0000250|UniProtKB:Q9P0L0}. Nucleus membrane {ECO:0000250|UniProtKB:Q9Z270}. Note=Present in the plasma membrane and in intracellular vesicles, together with SNARE proteins. May also associate with the cytoskeleton. Colocalizes with OCLN at the tight junction in polarized epithelial cells. {ECO:0000250|UniProtKB:Q9P0L0}."
Q8BK35,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:21804542}. Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q9NZM5}. Note=In the nucleolus may be more specifically localized to the fibrillar center. Mainly nucleolar it relocalizes to the nucleoplasm under specific conditions including ribosomal stress enabling it to interact and regulate nucleoplasmic proteins like p53/TP53. Also detected in the cytosol. {ECO:0000250|UniProtKB:Q9NZM5}."
P41778,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:32190943}.
Q8CIV7,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:9468311}.
Q9CQT2,,"SUBCELLULAR LOCATION: Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q9Y580}. Nucleus {ECO:0000269|PubMed:25525152}. Note=Excluded from the nucleolus. {ECO:0000250|UniProtKB:Q9Y580}."
P25801,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:9391090}.
P13405,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:8336704}. Note=During keratinocyte differentiation, acetylation by KAT2B/PCAF is required for nuclear localization. {ECO:0000250|UniProtKB:P06400}."
O08674,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:9111338}.
P08775,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:24207025, ECO:0000269|PubMed:26687004}. Cytoplasm {ECO:0000250|UniProtKB:P24928}. Chromosome {ECO:0000250|UniProtKB:P24928}. Note=Hypophosphorylated form is mainly found in the cytoplasm, while the hyperphosphorylated and active form is nuclear (By similarity). Co-localizes with kinase SRPK2 and helicase DDX23 at chromatin loci where unscheduled R-loops form (By similarity). {ECO:0000250|UniProtKB:P24928}."
Q9CZW6,,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:21602803}. Nucleus {ECO:0000250}. Note=Translocates to the nucleus after DNA damage, such as laser-induced DNA breaks, and concentrates at DNA breaks. This translocation requires PARP1 activation and PAR-binding (By similarity). {ECO:0000250}."
Q8R2K4,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:31005419}.
Q9R1C0,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10438527}.
Q91XT6,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11526914}.
Q6Y685,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:O75410}. Nucleus {ECO:0000269|PubMed:20078863}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:O75410}. Midbody {ECO:0000250|UniProtKB:O75410}. Note=Nucleus during interphase. Weakly concentrated at centrosomes during mitosis and colocalizes with AURKC at the midbody during cytokinesis. {ECO:0000250|UniProtKB:O75410}."
Q9CWV6,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9H875}. Nucleus, nucleolus {ECO:0000269|PubMed:12679338}."
Q04891,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00267, ECO:0000269|PubMed:10871192, ECO:0000269|PubMed:16835393, ECO:0000269|PubMed:26525805, ECO:0000269|PubMed:9421502}. Cytoplasm {ECO:0000269|PubMed:10871192}."
Q8CFT2,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:24550110}. Nucleus speckle {ECO:0000250}. Chromosome {ECO:0000250}. Note=Localizes to a largely non-overlapping set of euchromatic nuclear speckles with SETD1A, suggesting that SETD1A and SETD1B each bind to a unique set of target genes. {ECO:0000250}."
Q8VIG6,,"SUBCELLULAR LOCATION: Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q9BWF2}. Nucleus, nucleolus {ECO:0000250|UniProtKB:Q9BWF2}. Chromosome {ECO:0000269|PubMed:27405720}. Cytoplasm {ECO:0000250|UniProtKB:Q9BWF2}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:Q9BWF2}. Note=In the nucleus, found in close proximity to PCNA, suggesting localization at replication foci. Localizes to DNA damage sites in response to replication stress. {ECO:0000250|UniProtKB:Q9BWF2}."
Q924W6,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15322135}. Note=Forms discrete foci within the centromeric chromocenter and surrounding nucleoplasm.
Q8K4K2,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12749859, ECO:0000269|PubMed:22977230}."
A2A935,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18483224}. Cytoplasm {ECO:0000250|UniProtKB:Q9HAZ2}.
Q80T69,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14724137}.
Q6P1Y1,,SUBCELLULAR LOCATION: Nucleus {ECO:0000305|PubMed:27446912}.
Q8R4C2,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11506704}.
Q03347,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17377532}.
P07091,,SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:P26447}. Nucleus {ECO:0000250|UniProtKB:P26447}. Cytoplasm {ECO:0000269|PubMed:8051043}.
Q9ER74,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11836251, ECO:0000269|PubMed:19483677}."
P40645,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00267, ECO:0000269|PubMed:32442410}. Cytoplasm {ECO:0000269|PubMed:32442410}."
D3YWJ0,,SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000269|PubMed:22833677}.
Q8BP27,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20976249}.
Q9CR67,,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:31048699}; Multi-pass membrane protein {ECO:0000255}. Melanosome {ECO:0000250|UniProtKB:P57088}. Nucleus envelope {ECO:0000250|UniProtKB:P57088}. Note=Co-localizes with RTN4 at the ER sheets. {ECO:0000250|UniProtKB:P57088}.
Q569Z6,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:23525231}. Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q9Y2W1}. Nucleus speckle {ECO:0000250|UniProtKB:Q9Y2W1}."
P70196,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9Y4K3}. Cytoplasm, cell cortex {ECO:0000250|UniProtKB:Q9Y4K3}. Nucleus {ECO:0000250|UniProtKB:Q9Y4K3}. Lipid droplet {ECO:0000269|PubMed:21435586}. Note=RSAD2/viperin recruits it to the lipid droplet."
Q3TWW8,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12549914}. Nucleus speckle {ECO:0000250|UniProtKB:Q13247}.
Q5IBH7,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20339383}.
Q8VI67,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11792318}.
Q925F4,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11435423}. Note=Enriched in nuclear bodies. {ECO:0000250|UniProtKB:O94941}.
O88307,"SIGNAL 1..28;  /evidence=""ECO:0000255""","SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250|UniProtKB:Q92673}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q92673}. Golgi apparatus, trans-Golgi network membrane {ECO:0000250|UniProtKB:Q92673}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q92673}. Endosome membrane {ECO:0000250|UniProtKB:Q92673}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q92673}. Early endosome membrane {ECO:0000250|UniProtKB:Q92673}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q92673}. Recycling endosome membrane {ECO:0000250|UniProtKB:Q92673}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q92673}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q92673}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q92673}. Endosome, multivesicular body membrane {ECO:0000250|UniProtKB:Q92673}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q92673}. Cell membrane {ECO:0000250|UniProtKB:Q92673}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q92673}. Cytoplasmic vesicle, secretory vesicle membrane {ECO:0000250|UniProtKB:Q92673}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q92673}. Secreted {ECO:0000269|PubMed:11082041, ECO:0000269|PubMed:26584636}. Note=Mostly intracellular, predominantly in the trans-Golgi network (TGN) and in endosome, as well as in endosome-to-TGN recycling compartments; found at low levels on the plasma membrane (By similarity). At the cell surface, partially subjected to proteolytic shedding that releases the ectodomain (also called soluble SORLA, solLR11 or sLR11) in the extracellular milieu (PubMed:11082041). The shedding may be catalyzed by ADAM17/TACE. Following shedding, PSEN1/presenilin-1 cleaves the remaining transmembrane fragment and catalyzes the release of a C-terminal fragment in the cytosol and of a soluble N-terminal beta fragment in the extracellular milieu. The C-terminal cytosolic fragment localizes to the nucleus. At the cell surface, the full-length protein undergoes partial clathrin-dependent endocytosis guided by clathrin adapter protein 2 (AP-2) (By similarity). {ECO:0000250|UniProtKB:Q92673, ECO:0000269|PubMed:11082041}."
O88892,,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:31034892}. Nucleus {ECO:0000250|UniProtKB:O75920}."
Q8BKX6,,SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q96Q15}. Cytoplasm {ECO:0000250|UniProtKB:Q96Q15}. Note=Present in the chromatoid body. {ECO:0000269|PubMed:32665638}.
Q80Z37,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15703819, ECO:0000269|PubMed:15735665}. Nucleus, PML body {ECO:0000250|UniProtKB:Q9NS56}. Note=Localizes to discrete nuclear foci which partly overlap with PML nuclear bodies. Targeted to PML nuclear bodies upon DNA damage. {ECO:0000250|UniProtKB:Q9NS56}."
E9PYH6,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:24550110}. Nucleus speckle {ECO:0000250|UniProtKB:O15047}. Chromosome {ECO:0000250|UniProtKB:O15047}. Note=Localizes to a largely non-overlapping set of euchromatic nuclear speckles with SETD1B, suggesting that SETD1A and SETD1B each bind to a unique set of target genes. {ECO:0000250|UniProtKB:O15047}."
Q99K82,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14764092}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm. Nucleus.
Q05738,,"SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000250|UniProtKB:Q05066}. Cytoplasm {ECO:0000269|PubMed:11535586, ECO:0000269|PubMed:15469996, ECO:0000269|PubMed:16488877}. Nucleus {ECO:0000250|UniProtKB:Q05066}. Note=Acetylation contributes to its nuclear localization and deacetylation by HDAC3 induces a cytoplasmic delocalization (By similarity). Colocalizes in the nucleus with ZNF208 isoform KRAB-O and tyrosine hydroxylase (TH) (PubMed:15469996). Colocalizes with SOX6 in speckles. Colocalizes with CAML in the nucleus (By similarity). {ECO:0000250|UniProtKB:Q05066, ECO:0000269|PubMed:15469996}."
Q8CH25,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17630952}. Note=Detected in punctate structures.
O35134,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250|UniProtKB:P10964}. Chromosome {ECO:0000269|PubMed:30272023, ECO:0000269|PubMed:30746471}."
Q8BKA3,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19737518}.
Q69ZM6,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19305393}. Nucleus {ECO:0000250}. Note=Low levels also present in the nucleus. {ECO:0000250}.
Q8BX22,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000269|PubMed:19483677}.
Q9ERZ0,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11404085}.
Q9ERZ6,,"SUBCELLULAR LOCATION: Nucleus matrix {ECO:0000269|PubMed:16751186}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250}. Note=Localizes to centrosomes throughout mitosis and to the spindle midzone during telophase. {ECO:0000250}."
Q99N13,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11390982, ECO:0000269|PubMed:15546868, ECO:0000269|PubMed:15711539}."
Q9D945,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:26961175}. Chromosome {ECO:0000250|UniProtKB:Q9BRT6}. Note=Cell-permeable protein. 22 hours after injection in the hippocampal area CA1, internalized by most cells at the injection site (PubMed:26961175). Localizes at the chromosome periphery during mitosis (By similarity). {ECO:0000250|UniProtKB:Q9BRT6, ECO:0000269|PubMed:26961175}."
Q8BUI3,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9UFC0}. Chromosome, centromere {ECO:0000250|UniProtKB:Q9UFC0}. Chromosome, telomere {ECO:0000250|UniProtKB:Q9UFC0}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:20180869}. Chromosome, centromere, kinetochore {ECO:0000250|UniProtKB:Q9UFC0}. Note=Localizes to heterochromatin during G1 phase. Restricted to centromeres or telomeres as cells progress though S phase. When cells enter mitosis, relocalizes to centromeres. Recruitment to pericentric heterochromatin largely depends on the presence of H3K9me3. {ECO:0000250|UniProtKB:Q9UFC0}."
Q9QYH6,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20300063}. Cytoplasm {ECO:0000250}. Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Note=Expression shifts from the cytoplasm to the plasma membrane upon stimulation with NGF. {ECO:0000250}.
Q04859,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250}. Cytoplasm, cytoskeleton, spindle {ECO:0000250}. Midbody {ECO:0000250}. Cell projection, cilium, photoreceptor outer segment {ECO:0000269|PubMed:21148103}. Photoreceptor inner segment {ECO:0000250}. Note=Localizes in both the connecting cilia and the outer segment axonemes."
P38647,,"SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:7865888}. Nucleus, nucleolus {ECO:0000250|UniProtKB:P38646}."
P52927,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14668482}.
P30681,,SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P09429}. Chromosome {ECO:0000250|UniProtKB:P26583}. Cytoplasm {ECO:0000269|PubMed:19890330}. Secreted {ECO:0000250|UniProtKB:P26583}.
Q9QXA5,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10629062}.
Q0ZCJ7,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16818234}.
Q61696,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P0DMV8}. Nucleus {ECO:0000250|UniProtKB:P0DMV8}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:P0DMV8}. Secreted {ECO:0000269|PubMed:14585845}. Note=Localized in cytoplasmic mRNP granules containing untranslated mRNAs. {ECO:0000250|UniProtKB:P0DMV8}."
Q9EPW0,,"SUBCELLULAR LOCATION: Early endosome membrane {ECO:0000250|UniProtKB:Q96PE3}. Recycling endosome membrane {ECO:0000250|UniProtKB:Q96PE3}. Cell membrane {ECO:0000250|UniProtKB:Q96PE3}. Nucleus {ECO:0000250|UniProtKB:Q96PE3}. Cytoplasm {ECO:0000250|UniProtKB:Q96PE3}. Cell junction, synapse, postsynaptic density {ECO:0000269|PubMed:20463662}. Note=Translocates to the plasma membrane upon EGF stimulation (By similarity). Shuttles between the cytoplasm and the nucleus, depending on the cell cycle stage, with highest amounts detected in the nucleus during the G0/G1phase (By similarity). {ECO:0000250|UniProtKB:Q96PE3}."
P97431,,SUBCELLULAR LOCATION: Nucleus {ECO:0000305}. Cytoplasm {ECO:0000269|PubMed:19036739}. Note=Translocates to nucleus in response to an activating signal. {ECO:0000305}.
Q9JHD2,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q92830}. Chromosome {ECO:0000269|PubMed:28424240}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q92830}. Note=Mainly localizes to the nucleus. Also localizes to centrosomes in late G1 and around the G1/S transition, coinciding with the onset of centriole formation. {ECO:0000250|UniProtKB:Q92830}."
Q9WU01,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10077576, ECO:0000269|PubMed:15471878}."
Q9EST3,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16343815}. Nucleus {ECO:0000250|UniProtKB:Q9NRA8}. Nucleus, PML body {ECO:0000250|UniProtKB:Q9NRA8}. Nucleus speckle {ECO:0000250|UniProtKB:Q9NRA8}. Note=Predominantly cytoplasmic (By similarity). Mainly localizes to processing bodies (P-bodies) (By similarity). Shuttles between the nucleus and the cytoplasm in a CRM1-dependent manner. Localization to nuclear foci and speckles requires active transcription (By similarity). {ECO:0000250|UniProtKB:Q9NRA8}."
Q3TSG4,,SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000269|PubMed:29279410}.
O35368,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17981725}.
Q9DD02,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16157679}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q53FT3}. Nucleus {ECO:0000250|UniProtKB:Q53FT3}."
Q8K3W2,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14751244}.
Q2YDW7,,SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Chromosome {ECO:0000269|PubMed:23468428}. Note=Specifically localizes to mitotic chromosomes. Associates with silent chromatin on euchromatic arms. Not associated with constitutive heterochromatin (By similarity). Colocalized with SIRT2 at mitotic foci. Associates with chromosomes during mitosis; association is increased in a H(2)O(2)-induced oxidative stress-dependent manner. {ECO:0000250}.
P27699,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:23443664, ECO:0000269|PubMed:8252624}.; SUBCELLULAR LOCATION: [Isoform 11]: Cytoplasm. Nucleus."
Q9CWH0,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:21896782}.
O54879,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P40618, ECO:0000255|PROSITE-ProRule:PRU00267}. Chromosome {ECO:0000305}. Cytoplasm {ECO:0000269|PubMed:19890330}."
Q9Z175,"SIGNAL 1..26;  /evidence=""ECO:0000255""","SUBCELLULAR LOCATION: Secreted, extracellular space {ECO:0000269|PubMed:26954549}. Cytoplasm {ECO:0000250|UniProtKB:P58215}. Nucleus {ECO:0000250|UniProtKB:P58215}. Note=It is unclear how LOXL3 is both intracellular (cytoplasmic and nuclear) and extracellular: it contains a clear signal sequence and is predicted to localize in the extracellular medium. However, the intracellular location is clearly reported and at least another protein of the family (LOXL2) also has intracellular and extracellular localization despite the presence of a signal sequence. {ECO:0000250|UniProtKB:P58215}."
Q8CCG4,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17855347, ECO:0000269|PubMed:21896782}. Note=Associated with transcriptionally active chromatin."
Q8CCE9,,"SUBCELLULAR LOCATION: Nucleus, nucleoplasm {ECO:0000269|PubMed:15226446, ECO:0000269|PubMed:8262041}. Cytoplasm {ECO:0000250}. Note=A small fraction is detected in the cytoplasm (By similarity). Excluded from the nucleolus where it is targeted upon CDKN2A overexpression. Localizes to the mitotic spindle during embryogenesis. {ECO:0000250}."
Q9ESP5,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16314561}.
O35668,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P54256}. Cell junction, synapse, presynapse {ECO:0000250|UniProtKB:P54256}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:P54256}. Cell projection, dendritic spine {ECO:0000250|UniProtKB:P54256}. Cell projection, dendrite {ECO:0000250|UniProtKB:P54256}. Cell projection, axon {ECO:0000250|UniProtKB:P54256}. Lysosome {ECO:0000250|UniProtKB:P54256}. Endoplasmic reticulum {ECO:0000250|UniProtKB:P54256}. Mitochondrion {ECO:0000250|UniProtKB:P54256}. Nucleus {ECO:0000250|UniProtKB:P54256}. Cytoplasmic vesicle, autophagosome {ECO:0000269|PubMed:24453320}. Early endosome {ECO:0000250|UniProtKB:P54256}. Cell projection, growth cone {ECO:0000250|UniProtKB:P54256}. Note=Localizes to large nonmembrane-bound cytoplasmic bodies found in various types of neurons, called stigmoid bodies (STBs); STB formation is regulated by the ratio of isoform A to isoform B. In the nucleus localizes to nuclear rods. {ECO:0000250|UniProtKB:P54256}.; SUBCELLULAR LOCATION: [Isoform B]: Cytoplasm {ECO:0000250|UniProtKB:P54256}. Note=In NGF-stimulated PC2 cells isoform A can move anterogradely fom neurite cell body to neurite terminal and is localized to growth cone tips whereas isoform B stays in the cell body. {ECO:0000250|UniProtKB:P54256}.; SUBCELLULAR LOCATION: [Isoform A]: Cell projection, growth cone {ECO:0000250|UniProtKB:P54256}. Cell projection, neuron projection {ECO:0000250|UniProtKB:P54256}. Cytoplasmic vesicle, secretory vesicle, synaptic vesicle {ECO:0000250|UniProtKB:P54256}. Cell junction, synapse, presynapse {ECO:0000250|UniProtKB:P54256}. Note=In NGF-stimulated PC2 cells isoform A can move anterogradely fom neurite cell body to neurite terminal and is localized to growth cone tips whereas isoform B stays in the cell body. Localization to neuronal processes and neurite tips is decreased by YWHAZ. {ECO:0000250|UniProtKB:P54256}."
P13346,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17241283, ECO:0000269|PubMed:23303048, ECO:0000269|PubMed:2498083, ECO:0000269|PubMed:30902680, ECO:0000269|PubMed:9294222}."
Q70KY4,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12857750}. Nucleus {ECO:0000255|PROSITE-ProRule:PRU00089, ECO:0000269|PubMed:12857750}. Note=When phosphorylated, translocated from nucleus to cytoplasm. High nuclear localization after stimulation with growth factors."
O09106,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:21454521}.
Q9JL35,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10692437, ECO:0000269|PubMed:19748358}. Note=Associates with nucleosomes in euchromatin and is largely excluded from constitutive heterochromatin."
P20067,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16516211}. Nucleus {ECO:0000255|PROSITE-ProRule:PRU00981, ECO:0000269|PubMed:16516211}."
Q9Z0R0,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10358056}. Chromosome {ECO:0000250|UniProtKB:Q8TF76}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:Q8TF76}. Note=Nuclear during interphase and associates with the chromosomes and spindle apparatus during mitosis. {ECO:0000250|UniProtKB:Q8TF76}."
